"n" "SNR1" "SNR2" "b" "llik.dec" "piik1" "piik2" "piik3" "theta2.sim" "theta2.hat" "sigma2.sim" "sigma2.hat" "MSE.mu1" "MSE.mu2" "MSE.mu3" "MSE.Q1" "MSE.Q2" "MSE.Q3" "MSE.beta1" "MSE.beta2" "MSE.beta3" "MSE.betaQ1" "MSE.betaQ2" "MSE.betaQ3" "MSE.pred"
500 5 5 1 1 0.189999999999186 0.390015717271761 0.419984282729053 0.0572907827417071 2.21970170856218 0.0374540672973519 0.0355238119431581 0.000849145887197889 5.31312088312665 2.07239028973956 0.141750977224448 0.250503659739807 0.356102755945135 17.6206926402631 12.0791394297502 14.3859540106856 0.00250228504623996 3.18642075633193 3.67303633359072 58.038626373988
1000 5 5 1 1 0.192503177941661 0.364995146492481 0.442501675565858 0.0611705235312406 1.68649770405625 0.0374540672973519 0.034803960757144 0.000430419956510842 6.17838750915925e-05 1.21260518533579 0.131172677541538 0.0450318674397404 0.349463997316882 12.476055703144 4.18210291080022 11.3300733295985 0.000801600113391788 0.00060634350626533 0.00567029298705784 64.4325551041388
10000 5 5 1 1 0.200232780193304 0.346851141376451 0.452916078430244 0.0594311217031944 2.08074707606929 0.0374540672973519 0.0355420248504577 3.42261374971429e-05 2.12740208961459e-05 1.37527139733733 0.128819245299037 0.0528044895940574 0.354470126947502 14.0424498140224 6.58027408331232 12.1471558377466 9.02716798853569e-05 6.73958330035871e-05 0.00213560610413864 57.5648883754828
1000 3 5 1 1 0.189996776636647 0.332504258381677 0.477498964981676 0.159036258396003 1.14260216219656 0.104039075825977 0.102039107512213 0.00084445564759002 0.000907312855878075 0.0816624963893414 0.13650923784488 0.0627001602090394 0.315106327436835 8.42780159234091 3.54557708898801 10.21782540795 0.00179308565006224 0.00110174690805924 0.00249290912506045 57.7569960736889
1000 10 5 1 1 0.185 0.346907527961658 0.468092472038342 0.0142575642881597 4.03401647676928 0.00936351682433796 0.00898858617020679 0.0594532131360834 0.0236518648845116 3.3823844271051 0.161800328534438 0.0709933647741438 0.322087809594115 5.13759155340221 0.44954080119407 8.88457907053928 0.00177294291169311 0.000722041334002893 0.0696043887287554 56.0210527729896
500 5 5 2 1 0.187500010475177 0.350134624709276 0.462365364815547 0.0626511575505112 3.04389469860078 0.0374540672973519 0.0327479312208306 0.00721571070314811 0.00375887552571711 2.51053587488647 0.128877030486036 0.0461172518433333 0.308185256822129 14.1222175834078 4.99943981524713 11.3326723361731 0.00230178355938281 0.000924099731483622 0.0192794899581563 54.3262415122092
1000 5 5 2 1 0.184999998015509 0.344210877870398 0.470789124114093 0.0570302571526389 2.64541140517362 0.0374540672973519 0.0344407417718922 0.000306187142735191 0.000106387102991845 2.00357254369846 0.132314043988995 0.057507784808097 0.380289496784068 23.6619211820898 6.34475952755201 12.298127820729 0.00140907163185841 0.000505633195075058 0.0439301192995966 57.3053155694425
10000 5 5 2 1 0.197125000157838 0.343500456734649 0.459374543107513 0.0589990732034094 2.27482303097349 0.0374540672973519 0.0353698673246469 4.14156626174207e-05 0.000291772415123125 1.73197216218494 0.137510641237807 0.0523068731450301 0.414525647666525 15.7262496837237 6.18753424431062 13.4667612412564 9.29045224054663e-05 6.61214070379336e-05 0.0015597721243 59.5962763537308
1000 3 5 2 1 0.1999999742219 0.323654083188449 0.476345942589651 0.176666379989432 2.27070081124176 0.104039075825977 0.105824426398919 0.000792010772107615 0.000277935374254881 0.724011656857609 0.0822394844129654 0.055764630231712 0.48320725174978 7.26610305600233 3.17490240637853 16.9844246553462 0.00274831785103411 0.00179346146806561 0.00860050537007534 59.6873754672541
1000 10 5 2 1 0.2 0.345907036637989 0.45409296336201 0.0152726876917748 3.04876729473009 0.00936351682433796 0.00908905659088738 0.0256198482646962 0.0410023919605316 2.83753924308851 0.152043230420988 0.0519218008662133 0.427977239880057 3.74888913634352 0.456934090733105 13.2722348982099 0.000804446392241371 0.000487959778409956 0.0212559799792165 59.7253268908408
